epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,331.602,0.94621,6.14089,0.52225,1.48053,1.32905,0.40567,0.93417,0.7104,0.50704,0.08968,0.16842,0.13941,0.03062,1.29398,6.64649,0.22595,1.32594,1.85043,0.000525175,0.000525175,0.000525175
30,342.875,0.92753,6.03043,0.51692,1.45038,1.30763,0.54381,0.7894,0.70337,0.47672,0.77764,0.08333,0.08372,0.00837,1.37037,7.39034,0.22068,1.16943,2.05876,0.000524074,0.000524074,0.000524074
31,354.128,0.92474,6.01752,0.51707,1.40454,1.30281,0.51376,0.85186,0.73891,0.45919,0.70229,0.14706,0.16071,0.02824,1.73231,6.81419,0.1478,1.23149,2.43194,0.000522974,0.000522974,0.000522974
32,365.449,0.95328,5.98273,0.51164,1.4106,1.32363,0.4982,0.62886,0.6139,0.40139,0.09608,0.01926,0.00317,0.00058,1.63607,6.74515,0.18135,1.46337,2.35122,0.000521873,0.000521873,0.000521873
33,376.685,0.91801,5.94719,0.51843,1.40006,1.30553,0.41743,0.70254,0.52677,0.37391,0.73039,0.11765,0.07156,0.00728,1.23366,6.68254,0.1814,1.37963,1.87548,0.000520772,0.000520772,0.000520772
34,387.97,0.92806,5.87701,0.51603,1.39056,1.3014,0.49655,0.86912,0.68917,0.43688,0.44115,0.16632,0.17116,0.03347,1.47911,6.42647,0.16997,1.15663,2.24153,0.000519671,0.000519671,0.000519671
35,399.196,0.92927,5.8653,0.5027,1.39416,1.30006,0.52523,0.68163,0.67098,0.4484,0.55475,0.05602,0.04468,0.00475,1.41663,6.69272,0.14245,1.12271,2.16665,0.00051857,0.00051857,0.00051857
36,410.71,0.89023,5.81053,0.49295,1.34668,1.27424,0.43368,0.77514,0.71712,0.48992,0.62747,0.13878,0.1737,0.02867,1.52762,6.34291,0.14334,1.21627,2.37799,0.000517469,0.000517469,0.000517469
37,421.968,0.8531,5.75197,0.49119,1.32138,1.24774,0.59065,0.67023,0.72215,0.5041,0.24703,0.09979,0.08781,0.0233,1.24977,6.32398,0.17805,1.08379,1.9052,0.000516368,0.000516368,0.000516368
38,433.241,0.8761,5.57616,0.49309,1.28412,1.26085,0.44322,0.69103,0.6719,0.40015,0.87399,0.14389,0.16744,0.0363,1.64722,6.36224,0.14048,1.4751,2.53091,0.000515267,0.000515267,0.000515267
39,444.524,0.90652,5.68982,0.48868,1.33804,1.27519,0.44258,0.76072,0.61243,0.3955,0.35824,0.2001,0.15059,0.04274,1.3484,6.201,0.09292,1.16417,2.11491,0.000514167,0.000514167,0.000514167
40,455.795,0.93541,5.57574,0.46609,1.37989,1.2965,0.40406,0.81512,0.62773,0.36071,0.18434,0.18067,0.16935,0.03675,1.34435,6.33347,0.1438,1.29035,1.99041,0.000513066,0.000513066,0.000513066
41,467.027,0.85969,5.42729,0.48129,1.24956,1.26299,0.62034,0.65291,0.69827,0.47131,0.69893,0.15554,0.12597,0.05217,1.48615,6.08422,0.12377,1.05412,2.306,0.000511965,0.000511965,0.000511965
42,478.313,0.84804,5.59679,0.47847,1.27232,1.26137,0.41674,0.78541,0.70508,0.51166,0.8621,0.15931,0.17368,0.04272,1.43127,6.21896,0.13504,1.29903,2.18911,0.000510864,0.000510864,0.000510864
43,489.697,0.85649,5.45248,0.47499,1.24128,1.26822,0.34403,0.74783,0.58158,0.40356,0.09935,0.19568,0.12827,0.03549,1.3611,6.14162,0.13212,1.76019,2.03731,0.000509763,0.000509763,0.000509763
44,501.197,0.88041,5.49163,0.4659,1.25757,1.24292,0.52886,0.74261,0.63616,0.45745,0.27379,0.19503,0.12996,0.05011,1.18928,6.03975,0.13858,1.18314,1.83673,0.000508662,0.000508662,0.000508662
45,512.495,0.8823,5.55969,0.46874,1.28042,1.25188,0.38369,0.85867,0.65136,0.43461,0.87309,0.15322,0.17853,0.04145,1.35563,6.19084,0.10216,1.01543,2.2251,0.000507561,0.000507561,0.000507561
46,523.809,0.85436,5.38242,0.45802,1.1918,1.24713,0.47686,0.80707,0.69175,0.43842,0.19,0.22374,0.18071,0.03961,1.38118,6.152,0.14054,1.14924,2.02926,0.00050646,0.00050646,0.00050646
47,535.089,0.83139,5.51269,0.45526,1.18873,1.2467,0.49123,0.69914,0.67424,0.46887,0.37395,0.20608,0.14165,0.041,1.24443,5.93501,0.13657,1.04714,1.90101,0.00050536,0.00050536,0.00050536
48,546.383,0.8823,5.61333,0.46003,1.29389,1.26198,0.52146,0.57529,0.55046,0.35081,0.19769,0.30655,0.17896,0.06445,1.36122,5.92991,0.11018,1.1916,2.03465,0.000504259,0.000504259,0.000504259
49,557.701,0.85683,5.46371,0.45616,1.25572,1.2528,0.39036,0.77643,0.58723,0.3668,0.27317,0.21429,0.14998,0.05217,1.41429,5.77874,0.10466,1.31886,2.0382,0.000503158,0.000503158,0.000503158
50,569.033,0.83508,5.50472,0.44454,1.25228,1.24148,0.47198,0.7817,0.72385,0.55272,0.35749,0.21639,0.17143,0.06482,1.17738,5.90262,0.11693,1.12205,1.81052,0.000502057,0.000502057,0.000502057
51,580.665,0.84002,5.29185,0.4475,1.2436,1.246,0.46182,0.82984,0.69624,0.50089,0.29238,0.23937,0.18406,0.0536,1.20831,6.00214,0.14865,1.02749,1.84185,0.000500956,0.000500956,0.000500956
