epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.6504,1.04649,10.3217,0.77258,3.70153,1.50463,0.78939,0.15385,0.11976,0.06389,0,0,0,0,1.54182,10.4107,0.67901,4.08907,2.20371,0.00016124,0.00016124,0.00016124
2,48.8657,1.10894,8.96589,0.71446,2.87077,1.51496,0.1993,0.5568,0.25056,0.16794,0,0,0,0,1.31529,9.90989,0.67544,9.26663,2.08151,0.000327499,0.000327499,0.000327499
3,62.0866,1.1989,8.45253,0.68474,2.53975,1.52044,0.64636,0.24901,0.18023,0.10885,0,0,0,0,1.81553,10.0023,0.55087,8.69605,2.98606,0.000493207,0.000493207,0.000493207
4,75.1086,1.20833,8.17621,0.65547,2.3508,1.52817,0.96915,0.08333,0.12893,0.07869,0,0,0,0,1.55332,8.95507,0.50391,3.42841,2.20267,0.000553248,0.000553248,0.000553248
5,88.0305,1.16818,8.01768,0.6369,2.23031,1.507,0.3979,0.48093,0.29333,0.1716,0,0,0,0,1.28253,8.7198,0.39267,2.09141,2.02186,0.00055233,0.00055233,0.00055233
6,101.329,1.17612,7.89175,0.62278,2.10793,1.48143,0.54075,0.31938,0.29929,0.15089,0,0,0,0,1.58628,8.5685,0.30558,2.54811,2.48758,0.000551413,0.000551413,0.000551413
7,114.207,1.19204,7.75344,0.61579,2.08904,1.49813,0.21507,0.58809,0.35793,0.1803,0,0,0,0,1.66963,8.16998,0.29529,2.46931,2.48043,0.000550496,0.000550496,0.000550496
8,127.257,1.17563,7.38359,0.61176,1.97725,1.46887,0.27511,0.31502,0.14271,0.07471,0,0,0,0,1.99672,7.94508,0.30274,2.9324,2.72134,0.000549578,0.000549578,0.000549578
9,140.126,1.15603,7.27553,0.5993,1.93693,1.49166,0.17111,0.29535,0.22791,0.11832,0,0,0,0,1.82369,8.12439,0.30731,2.50505,2.5125,0.000548661,0.000548661,0.000548661
10,153.042,1.12728,7.15982,0.58042,1.88009,1.46562,0.38071,0.32777,0.25486,0.07831,0,0,0,0,2.62391,7.91165,0.26793,1.88007,3.63916,0.000547743,0.000547743,0.000547743
11,165.91,1.08797,6.83077,0.57979,1.80177,1.42843,0.7365,0.38143,0.37415,0.21984,0.61746,0.0119,0.00821,0.00082,1.32666,7.90228,0.26592,1.44682,2.06904,0.000546826,0.000546826,0.000546826
12,179.15,1.07579,6.95203,0.57131,1.77843,1.42537,0.25839,0.33559,0.33484,0.1923,0,0,0,0,1.74307,8.07249,0.26227,3.16792,2.80124,0.000545909,0.000545909,0.000545909
13,192.001,1.12291,6.74796,0.55589,1.75505,1.42785,0.31873,0.54238,0.30515,0.15906,0.34016,0.03571,0.00451,0.00072,1.92627,7.75117,0.2473,2.31207,3.10558,0.000544991,0.000544991,0.000544991
14,204.867,1.0504,6.91555,0.5587,1.67573,1.37232,0.29082,0.71752,0.46202,0.18497,0,0,0,0,2.47546,7.94193,0.1979,2.14665,3.9214,0.000544074,0.000544074,0.000544074
15,217.735,1.04262,6.56542,0.55267,1.64149,1.3802,0.4872,0.65635,0.53366,0.31109,0,0,0,0,1.43647,7.56102,0.31017,1.6424,2.01212,0.000543156,0.000543156,0.000543156
16,230.726,1.08444,6.54612,0.54957,1.65906,1.40139,0.52235,0.57759,0.41104,0.25296,0,0,0,0,1.38239,7.76452,0.27197,1.53694,1.99762,0.000542239,0.000542239,0.000542239
17,243.802,1.04255,6.61884,0.53534,1.65628,1.37396,0.46862,0.58057,0.60935,0.39627,0.09331,0.02315,0.00274,0.00033,1.31463,7.07929,0.25482,1.58879,1.99339,0.000541322,0.000541322,0.000541322
18,256.81,1.08712,6.5143,0.52095,1.63264,1.41134,0.50971,0.52466,0.53358,0.31674,0.01319,0.02416,0.00512,0.00059,1.74192,7.38023,0.18796,1.66518,2.39124,0.000540404,0.000540404,0.000540404
19,269.635,1.05397,6.30549,0.52442,1.57631,1.39029,0.29371,0.80919,0.50733,0.35092,0.00273,0.0119,0.0009,9e-05,1.19622,6.93117,0.19909,1.59692,1.79414,0.000539487,0.000539487,0.000539487
20,282.506,1.06002,6.45051,0.51424,1.59146,1.40055,0.49381,0.76187,0.60728,0.40467,0,0,0,0,1.22846,7.68582,0.25881,1.38719,1.7839,0.000538569,0.000538569,0.000538569
21,295.472,1.01629,6.52279,0.51025,1.60484,1.35771,0.39296,0.63139,0.5605,0.33157,0.68239,0.01471,0.00353,0.00036,1.54961,7.04412,0.18531,1.51535,2.12368,0.000537652,0.000537652,0.000537652
22,308.329,1.02983,6.34676,0.50285,1.54906,1.35202,0.3156,0.82656,0.53996,0.31838,0.1107,0.0728,0.01927,0.00296,1.55601,6.76464,0.18054,1.1824,2.35513,0.000536735,0.000536735,0.000536735
