epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,125.355,0.8834,5.98588,0.53061,1.4306,1.27449,0.52006,0.58432,0.62094,0.43889,0.18808,0.18522,0.1637,0.03452,1.19998,6.54874,0.27284,1.25402,1.75989,0.000401877,0.000401877,0.000401877
30,129.448,0.83669,5.82652,0.52048,1.38051,1.2431,0.54271,0.73696,0.66978,0.4352,0.52776,0.08333,0.04352,0.00866,1.21859,6.83493,0.26604,1.16175,1.83885,0.000396372,0.000396372,0.000396372
31,133.43,0.82496,5.8028,0.52578,1.34108,1.23494,0.49131,0.89654,0.78547,0.5119,0.01362,0.04062,0.0055,0.0008,1.37266,6.63946,0.21303,1.13243,2.1752,0.000390868,0.000390868,0.000390868
32,137.354,0.88276,5.79109,0.5159,1.33577,1.25833,0.5362,0.59852,0.6719,0.43962,0.18104,0.17332,0.15707,0.0175,1.45701,6.45823,0.21429,1.30992,2.15984,0.000385364,0.000385364,0.000385364
33,141.442,0.83388,5.6864,0.52533,1.31336,1.23912,0.45368,0.62969,0.56924,0.38263,0.19394,0.19315,0.13457,0.01522,1.25922,6.45625,0.24909,1.35093,1.94623,0.000379859,0.000379859,0.000379859
34,145.5,0.85631,5.69573,0.52272,1.31358,1.25011,0.43532,0.87901,0.71274,0.48156,0.18793,0.19453,0.17521,0.0316,1.29341,6.4206,0.25794,1.12903,1.89539,0.000374355,0.000374355,0.000374355
35,149.497,0.87589,5.67239,0.49927,1.35365,1.25668,0.40271,0.77346,0.64627,0.44971,0.25495,0.14051,0.13095,0.02219,1.20096,6.478,0.25079,1.23412,1.79923,0.00036885,0.00036885,0.00036885
36,153.782,0.84245,5.66475,0.50007,1.28844,1.22916,0.49339,0.83929,0.6684,0.48187,0.61208,0.15317,0.12512,0.02445,1.20081,6.31389,0.23229,1.10741,1.76741,0.000363346,0.000363346,0.000363346
37,157.782,0.81809,5.60072,0.50906,1.26811,1.2143,0.43615,0.8427,0.68669,0.47587,0.17977,0.16782,0.15351,0.02668,1.46934,6.41573,0.24291,1.19226,2.14197,0.000357842,0.000357842,0.000357842
38,161.75,0.8108,5.43147,0.50987,1.23507,1.2231,0.42434,0.78577,0.67706,0.4772,0.10032,0.18871,0.17507,0.03818,1.24555,6.3697,0.25181,1.16186,1.93137,0.000352337,0.000352337,0.000352337
39,165.788,0.83314,5.45861,0.49538,1.29337,1.2167,0.50108,0.79959,0.69981,0.51822,0.1982,0.18911,0.1396,0.03347,1.14794,6.28976,0.25346,1.19504,1.81967,0.000346833,0.000346833,0.000346833
40,169.975,0.84399,5.37709,0.48495,1.28586,1.23301,0.48459,0.79081,0.69522,0.49455,0.28367,0.19695,0.18945,0.0531,1.13544,6.26993,0.23957,1.23912,1.76091,0.000341328,0.000341328,0.000341328
41,173.968,0.78992,5.23933,0.49873,1.21334,1.21262,0.48758,0.78845,0.69466,0.48946,0.28618,0.18803,0.18915,0.04554,1.18835,6.1031,0.22435,1.15473,1.86928,0.000335824,0.000335824,0.000335824
42,177.878,0.79103,5.37905,0.49928,1.21315,1.2159,0.45667,0.93745,0.64615,0.45886,0.4528,0.18803,0.13169,0.04393,1.17421,6.14154,0.21601,1.10619,1.8888,0.00033032,0.00033032,0.00033032
