epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,124.417,0.9033,5.99857,0.52179,1.45232,1.2863,0.46021,0.74269,0.67749,0.45208,0.50656,0.01282,0.00157,0.00016,1.50617,6.93391,0.24046,1.46392,2.02692,0.000453251,0.000453251,0.000453251
30,128.471,0.85769,5.83098,0.50606,1.39512,1.25146,0.59281,0.7194,0.74533,0.51838,0.15866,0.11786,0.0495,0.00917,1.34833,6.7481,0.22094,1.09674,1.93391,0.000449582,0.000449582,0.000449582
31,132.596,0.85107,5.81217,0.51067,1.38681,1.24512,0.50614,0.78751,0.73589,0.50907,0.3065,0.20381,0.14368,0.0162,1.43318,6.39085,0.22922,1.19513,2.09773,0.000445912,0.000445912,0.000445912
32,136.686,0.8949,5.88827,0.51489,1.38563,1.27228,0.40901,0.90819,0.70065,0.45385,0.20694,0.10165,0.09022,0.00902,1.27437,6.8032,0.19948,1.19751,1.88709,0.000442242,0.000442242,0.000442242
33,140.766,0.85176,5.77393,0.52105,1.34538,1.25414,0.42238,0.73273,0.65996,0.44658,0.18951,0.18312,0.11663,0.026,1.22423,6.3667,0.22984,1.38242,1.87446,0.000438573,0.000438573,0.000438573
34,144.99,0.86788,5.73206,0.50922,1.3187,1.24872,0.61011,0.79682,0.79624,0.5257,0.42528,0.12406,0.11187,0.01133,1.32493,6.52748,0.2539,1.14665,1.961,0.000434903,0.000434903,0.000434903
35,149.067,0.8771,5.71871,0.49322,1.35966,1.24789,0.43454,0.711,0.66321,0.43746,0.11488,0.20655,0.17966,0.05311,1.29457,6.28957,0.24716,1.19621,1.98811,0.000431234,0.000431234,0.000431234
36,153.235,0.84762,5.67575,0.49255,1.27685,1.22907,0.46636,0.8104,0.728,0.47787,0.55526,0.15472,0.18034,0.04647,1.33912,6.33159,0.1895,1.13288,2.02275,0.000427564,0.000427564,0.000427564
37,157.372,0.83155,5.62607,0.4917,1.26215,1.22488,0.47331,0.78407,0.74363,0.51484,0.10483,0.21429,0.17595,0.0474,1.28951,6.41746,0.23689,1.16666,1.90791,0.000423894,0.000423894,0.000423894
38,161.487,0.81284,5.46045,0.48701,1.25073,1.22109,0.55754,0.69859,0.72894,0.48451,0.80122,0.15016,0.18536,0.06079,1.23656,6.2306,0.26468,1.23584,1.89471,0.000420225,0.000420225,0.000420225
39,165.612,0.83582,5.56075,0.47839,1.29541,1.22376,0.43295,0.79932,0.70724,0.45536,0.77695,0.15441,0.16857,0.03115,1.21202,6.32633,0.21409,1.30299,1.8723,0.000416555,0.000416555,0.000416555
40,169.798,0.8584,5.40949,0.47516,1.27913,1.24419,0.38057,0.9224,0.63159,0.41963,0.18307,0.21183,0.13134,0.02246,1.20559,6.31968,0.18594,1.25254,1.87971,0.000412886,0.000412886,0.000412886
41,173.902,0.80214,5.2932,0.48457,1.19175,1.21474,0.48215,0.8028,0.62336,0.40881,0.18526,0.22619,0.13109,0.03447,1.3161,6.16424,0.23297,1.31194,2.02387,0.000409216,0.000409216,0.000409216
42,178.151,0.79529,5.47888,0.48816,1.21753,1.22326,0.52507,0.8114,0.69996,0.49501,0.36363,0.17857,0.13868,0.03444,1.17598,6.21042,0.19736,1.12893,1.85941,0.000405546,0.000405546,0.000405546
43,182.291,0.80339,5.35761,0.46889,1.18333,1.21977,0.47411,0.78639,0.64716,0.4191,0.36579,0.23564,0.13592,0.03271,1.27276,6.24251,0.2135,1.23073,1.97037,0.000401877,0.000401877,0.000401877
44,186.4,0.80946,5.44295,0.46869,1.20207,1.1911,0.41084,0.89752,0.69191,0.46115,0.53946,0.17612,0.11792,0.0418,1.31569,6.09502,0.21121,1.1237,1.97087,0.000398207,0.000398207,0.000398207
45,190.48,0.79499,5.5068,0.46693,1.21831,1.197,0.49629,0.82277,0.68965,0.45172,0.20389,0.17122,0.14151,0.0344,1.31793,6.10307,0.22856,1.20238,2.04228,0.000394538,0.000394538,0.000394538
46,194.713,0.7892,5.39581,0.45629,1.16993,1.19268,0.45664,0.8631,0.71942,0.46579,0.1177,0.19461,0.15849,0.03628,1.22909,6.10248,0.20325,1.25257,1.9189,0.000390868,0.000390868,0.000390868
47,198.799,0.77888,5.48227,0.44925,1.16897,1.19937,0.47374,0.84838,0.72067,0.47648,0.38859,0.15862,0.14095,0.04201,1.33492,6.09638,0.23318,1.36312,2.07105,0.000387198,0.000387198,0.000387198
48,202.893,0.8089,5.47285,0.45696,1.22665,1.21018,0.46956,0.92922,0.72677,0.50036,0.39261,0.16387,0.13806,0.04754,1.22163,5.96534,0.245,1.08623,1.91905,0.000383529,0.000383529,0.000383529
49,207.118,0.77742,5.33515,0.4616,1.20201,1.19502,0.42469,0.71597,0.67979,0.44467,0.54628,0.17122,0.14196,0.0536,1.32408,5.93326,0.2504,1.49985,2.03641,0.000379859,0.000379859,0.000379859
50,211.222,0.79227,5.35843,0.44838,1.19463,1.19546,0.41545,0.80397,0.65494,0.46798,0.27891,0.20574,0.12458,0.05219,1.22297,5.77913,0.23574,1.29668,1.94429,0.00037619,0.00037619,0.00037619
51,215.277,0.78895,5.2534,0.44239,1.19272,1.20717,0.40301,0.92526,0.67924,0.49054,0.28109,0.22137,0.15097,0.05604,1.17209,5.74535,0.21314,1.08237,1.81399,0.00037252,0.00037252,0.00037252
52,219.485,0.78616,5.22976,0.4424,1.12184,1.19762,0.42352,0.92778,0.66954,0.45706,0.29566,0.23267,0.16188,0.05375,1.25179,5.87559,0.21371,1.1425,1.89653,0.00036885,0.00036885,0.00036885
53,223.74,0.77318,5.15239,0.43792,1.12767,1.18215,0.49754,0.82287,0.724,0.50498,0.30037,0.20835,0.19122,0.07246,1.2961,5.70113,0.24159,1.24177,1.97088,0.000365181,0.000365181,0.000365181
54,227.903,0.76538,5.39807,0.43902,1.12334,1.19622,0.41366,0.85833,0.62929,0.41048,0.21055,0.21586,0.15033,0.05837,1.32693,5.69198,0.19645,1.11658,2.10222,0.000361511,0.000361511,0.000361511
55,232.146,0.75941,5.28152,0.42993,1.12116,1.17932,0.4336,0.79694,0.64168,0.42025,0.44149,0.21131,0.13959,0.05384,1.25223,5.55724,0.19148,1.01338,2.06963,0.000357842,0.000357842,0.000357842
56,236.227,0.76922,5.14398,0.43153,1.13875,1.17664,0.43303,0.81418,0.687,0.46539,0.3073,0.23267,0.15977,0.06587,1.18008,5.58113,0.21898,1.05951,1.88866,0.000354172,0.000354172,0.000354172
57,240.255,0.75341,5.09337,0.43138,1.10442,1.1669,0.73023,0.51751,0.68484,0.43702,0.28116,0.20885,0.18643,0.05988,1.29575,5.58582,0.23238,1.11122,2.08141,0.000350502,0.000350502,0.000350502
58,244.478,0.76328,5.09549,0.42828,1.08261,1.16829,0.57698,0.60735,0.63428,0.442,0.28213,0.23438,0.13863,0.04927,1.20588,5.70427,0.21075,1.12616,1.99358,0.000346833,0.000346833,0.000346833
59,248.567,0.78188,5.17411,0.43163,1.11231,1.19343,0.55207,0.59938,0.66582,0.4558,0.37331,0.19993,0.14945,0.06606,1.31815,5.50878,0.20595,1.13367,2.17066,0.000343163,0.000343163,0.000343163
60,252.693,0.76225,4.99537,0.43548,1.10148,1.19205,0.4712,0.7657,0.66662,0.42322,0.29135,0.2046,0.13743,0.06149,1.49455,5.6202,0.17153,1.46222,2.41822,0.000339494,0.000339494,0.000339494
61,256.887,0.76488,4.89183,0.43001,1.07999,1.18623,0.71987,0.57854,0.72493,0.47771,0.44672,0.21015,0.18145,0.06947,1.27677,5.64269,0.15859,1.04047,1.99892,0.000335824,0.000335824,0.000335824
62,260.932,0.73688,4.9675,0.41739,1.07171,1.16876,0.6431,0.57414,0.73036,0.49209,0.38766,0.22038,0.19254,0.07328,1.22876,5.51984,0.18688,1.13232,1.94608,0.000332154,0.000332154,0.000332154
63,264.928,0.73326,4.97687,0.43037,1.04582,1.16222,0.61681,0.54832,0.6593,0.43648,0.55334,0.22076,0.16176,0.06948,1.27456,5.52281,0.14581,1.11124,2.0537,0.000328485,0.000328485,0.000328485
64,269.371,0.75407,5.11059,0.41984,1.08732,1.17726,0.39954,0.83752,0.62848,0.41212,0.44643,0.19811,0.17488,0.07647,1.29151,5.40048,0.20028,1.34627,2.1063,0.000324815,0.000324815,0.000324815
65,273.471,0.76468,4.81593,0.41156,1.08844,1.18005,0.39137,0.77039,0.6244,0.42969,0.18037,0.34377,0.25846,0.07538,1.36175,5.43841,0.16567,1.21992,2.2966,0.000321146,0.000321146,0.000321146
66,277.594,0.74727,4.92615,0.42718,1.05749,1.18168,0.62841,0.58395,0.67582,0.45686,0.3091,0.24576,0.18222,0.06704,1.33005,5.34492,0.22179,1.10764,2.22131,0.000317476,0.000317476,0.000317476
67,281.814,0.72704,4.97516,0.41982,1.02902,1.16437,0.46791,0.70634,0.61014,0.43689,0.64073,0.19448,0.17237,0.06165,1.26861,5.521,0.1962,1.29394,2.14013,0.000313806,0.000313806,0.000313806
68,285.991,0.74291,4.98049,0.42231,1.02831,1.17315,0.4441,0.7489,0.6094,0.43165,0.50505,0.19073,0.14923,0.05581,1.25801,5.63612,0.15269,1.43068,2.11908,0.000310137,0.000310137,0.000310137
69,289.981,0.71868,4.96428,0.41237,1.03269,1.16162,0.62696,0.62635,0.74301,0.5273,0.47152,0.22386,0.2319,0.07409,1.3145,5.49835,0.15733,1.19804,2.22935,0.000306467,0.000306467,0.000306467
70,294.19,0.71115,4.8234,0.41246,0.98187,1.15256,0.63761,0.5938,0.67508,0.44214,0.29899,0.24664,0.16313,0.07532,1.35121,5.37538,0.17457,1.07214,2.27718,0.000302798,0.000302798,0.000302798
71,298.274,0.72092,4.69157,0.40335,1.01028,1.16953,0.52258,0.59507,0.64759,0.43357,0.2994,0.23469,0.19513,0.09046,1.30582,5.48058,0.14273,1.22183,2.16908,0.000299128,0.000299128,0.000299128
72,302.39,0.69739,4.8018,0.41286,0.97394,1.14599,0.46207,0.78442,0.58657,0.38428,0.30438,0.21982,0.16962,0.07279,1.36339,5.51162,0.18133,1.41068,2.19514,0.000295458,0.000295458,0.000295458
73,306.559,0.74722,4.80157,0.40425,1.01464,1.17576,0.47431,0.71813,0.63211,0.41464,0.42829,0.22136,0.1994,0.07387,1.37447,5.34584,0.18391,1.32378,2.31209,0.000291789,0.000291789,0.000291789
74,310.686,0.73289,4.82619,0.40947,1.02827,1.17677,0.51597,0.67093,0.77071,0.55275,0.53953,0.23093,0.23626,0.08122,1.19943,5.34763,0.16547,1.14159,1.92975,0.000288119,0.000288119,0.000288119
75,314.98,0.71096,4.72861,0.40965,0.96658,1.15159,0.72751,0.50771,0.68311,0.48161,0.53731,0.26648,0.20726,0.05384,1.26107,5.45226,0.14629,1.31234,2.10359,0.00028445,0.00028445,0.00028445
76,319.186,0.73101,4.7471,0.40389,0.9662,1.14757,0.54267,0.56998,0.61916,0.3821,0.39682,0.22845,0.17546,0.06354,1.45902,5.57583,0.14147,1.37397,2.36967,0.00028078,0.00028078,0.00028078
77,323.277,0.69114,4.72507,0.40403,0.95653,1.12758,0.64217,0.50621,0.58338,0.38182,0.48531,0.22181,0.1675,0.07309,1.30236,5.36093,0.13593,1.22306,2.10398,0.00027711,0.00027711,0.00027711
78,327.392,0.7165,4.5632,0.40398,0.97849,1.16748,0.50586,0.65698,0.75301,0.53387,0.49101,0.27521,0.22495,0.08859,1.25446,5.25765,0.1569,1.06862,2.09151,0.000273441,0.000273441,0.000273441
79,331.542,0.68957,4.73364,0.39991,0.95729,1.15997,0.47202,0.68587,0.7398,0.52536,0.61633,0.23003,0.23369,0.08619,1.25422,5.37186,0.15089,1.236,2.03134,0.000269771,0.000269771,0.000269771
80,335.665,0.72313,4.6683,0.40341,0.99332,1.17578,0.52719,0.58124,0.5911,0.39907,0.34585,0.28748,0.21425,0.0742,1.23909,5.40213,0.13168,1.26643,2.08329,0.000266102,0.000266102,0.000266102
81,339.686,0.69613,4.72843,0.40276,0.91788,1.14147,0.49315,0.64634,0.67158,0.4774,0.36186,0.28798,0.26666,0.09966,1.21811,5.24486,0.13422,1.38356,2.01326,0.000262432,0.000262432,0.000262432
82,343.948,0.70612,4.61127,0.39369,0.9205,1.14707,0.46459,0.68357,0.63518,0.44372,0.4211,0.25036,0.18011,0.06034,1.43243,5.31845,0.12544,1.23248,2.59473,0.000258762,0.000258762,0.000258762
83,348.049,0.71916,4.70856,0.41223,0.93289,1.15069,0.50673,0.57168,0.63145,0.43498,0.53994,0.24021,0.19374,0.07603,1.32105,5.38994,0.15319,1.31212,2.31185,0.000255093,0.000255093,0.000255093
84,352.149,0.71198,4.67252,0.39413,0.96553,1.1448,0.56499,0.52184,0.62147,0.39793,0.39422,0.26771,0.19574,0.07812,1.47767,5.37358,0.14057,1.36845,2.50767,0.000251423,0.000251423,0.000251423
85,356.273,0.68139,4.53808,0.39624,0.91807,1.12803,0.46392,0.62596,0.64132,0.44281,0.65273,0.25033,0.21705,0.07511,1.2201,5.20266,0.15788,1.32396,2.07192,0.000247754,0.000247754,0.000247754
86,360.596,0.71023,4.75233,0.39948,0.95167,1.1543,0.40963,0.6866,0.61673,0.41476,0.53234,0.28465,0.30726,0.1016,1.2157,5.21878,0.13912,1.20869,2.03117,0.000244084,0.000244084,0.000244084
87,364.691,0.68005,4.57138,0.39391,0.92384,1.1342,0.48848,0.72199,0.60996,0.39003,0.4994,0.24694,0.21086,0.08376,1.30815,5.26455,0.16161,1.34807,2.22648,0.000240414,0.000240414,0.000240414
88,368.91,0.67341,4.5301,0.39807,0.89524,1.14347,0.48835,0.67961,0.64671,0.46444,0.36769,0.25656,0.2088,0.08549,1.18454,5.14775,0.13444,1.31842,2.02505,0.000236745,0.000236745,0.000236745
89,372.966,0.6724,4.42045,0.39155,0.90725,1.11913,0.54145,0.57812,0.60772,0.39776,0.46084,0.24997,0.21676,0.07739,1.36183,5.21874,0.14252,1.35235,2.28534,0.000233075,0.000233075,0.000233075
90,377.096,0.65488,4.58913,0.40038,0.87953,1.13213,0.64881,0.48245,0.65083,0.42154,0.44497,0.23058,0.24669,0.10523,1.41049,5.11194,0.14485,1.41569,2.33715,0.000229406,0.000229406,0.000229406
91,381.225,0.68896,4.44331,0.39905,0.87796,1.13631,0.58316,0.57298,0.72185,0.48124,0.54175,0.23782,0.24207,0.0979,1.41702,5.12525,0.13689,1.28295,2.4137,0.000225736,0.000225736,0.000225736
92,385.339,0.68519,4.48391,0.38659,0.89279,1.14266,0.49181,0.70537,0.68108,0.46551,0.52109,0.25675,0.20756,0.08001,1.31906,5.19854,0.12306,1.26013,2.26263,0.000222066,0.000222066,0.000222066
93,389.467,0.6567,4.56583,0.39753,0.88938,1.12219,0.46391,0.71806,0.65608,0.45258,0.5454,0.26594,0.22688,0.09141,1.26605,5.07978,0.13023,1.27415,2.09375,0.000218397,0.000218397,0.000218397
94,393.629,0.65664,4.57907,0.40198,0.89133,1.1143,0.6392,0.59514,0.66471,0.44252,0.55281,0.2558,0.2112,0.08892,1.28931,5.1632,0.15042,1.31732,2.19824,0.000214727,0.000214727,0.000214727
95,397.792,0.65477,4.32804,0.38492,0.86413,1.11209,0.64231,0.57079,0.66179,0.42558,0.46441,0.24939,0.20596,0.08045,1.43639,5.15617,0.14579,1.18997,2.49259,0.000211058,0.000211058,0.000211058
