epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,308.617,0.49002,2.9874,0.33364,0.59377,1.02719,0.58442,0.60749,0.64475,0.45598,0.51089,0.51599,0.51128,0.21828,1.47559,3.49477,0.14655,1.32117,3.03809,0.000484443,0.000484443,0.000484443
28,319.903,0.51629,2.7181,0.322,0.61696,1.03894,0.68318,0.58672,0.6422,0.44984,0.75436,0.47647,0.56089,0.2489,1.42636,3.57134,0.07748,1.2278,2.76621,0.000481691,0.000481691,0.000481691
29,331.147,0.50874,2.90452,0.31231,0.62012,1.04738,0.56609,0.56705,0.59103,0.41042,0.5909,0.42399,0.4321,0.22129,1.42524,3.78182,0.08005,1.39206,2.69363,0.000478938,0.000478938,0.000478938
30,342.583,0.50485,2.74428,0.31071,0.62886,1.0232,0.51721,0.61353,0.66738,0.47219,0.63094,0.45015,0.53288,0.28071,1.42809,3.65591,0.05829,1.27358,2.85445,0.000476186,0.000476186,0.000476186
31,354.033,0.50326,2.85509,0.31372,0.58329,1.03036,0.58406,0.57728,0.69484,0.48715,0.73994,0.48185,0.47173,0.23147,1.5109,3.8352,0.08075,1.39803,3.08667,0.000473434,0.000473434,0.000473434
32,365.367,0.52129,2.86515,0.31443,0.591,1.04174,0.53673,0.69569,0.68266,0.46619,0.58183,0.5684,0.56466,0.27059,1.55428,3.88814,0.05682,1.27515,3.02848,0.000470682,0.000470682,0.000470682
33,376.691,0.49437,2.79003,0.32187,0.60633,1.04207,0.58365,0.72497,0.67366,0.47493,0.42059,0.54047,0.50326,0.26389,1.50612,3.95924,0.06965,1.20716,3.06226,0.00046793,0.00046793,0.00046793
34,387.963,0.49268,2.81643,0.31692,0.57443,1.03655,0.50094,0.67501,0.62809,0.43622,0.38468,0.53543,0.45943,0.23199,1.45163,3.8695,0.08428,1.26597,2.93358,0.000465177,0.000465177,0.000465177
35,399.205,0.5021,2.76962,0.31362,0.60232,1.02958,0.62331,0.66048,0.72279,0.50851,0.58109,0.46582,0.45554,0.221,1.42183,3.62072,0.05438,1.07908,2.73288,0.000462425,0.000462425,0.000462425
36,410.453,0.4998,2.74151,0.31509,0.57533,1.02926,0.6027,0.62365,0.70315,0.49696,0.49052,0.51219,0.49968,0.25154,1.45049,3.56506,0.08372,1.22606,2.84778,0.000459673,0.000459673,0.000459673
37,421.733,0.47862,2.63929,0.31592,0.56684,1.01584,0.5211,0.67147,0.6601,0.46058,0.46751,0.57599,0.54608,0.24529,1.46653,3.59805,0.09554,1.28206,2.92071,0.000456921,0.000456921,0.000456921
38,432.999,0.47221,2.61523,0.31749,0.5327,1.01627,0.5132,0.64701,0.67469,0.46379,0.42222,0.52949,0.47681,0.24918,1.46427,3.79823,0.06054,1.26161,2.8912,0.000454169,0.000454169,0.000454169
39,444.221,0.48149,2.79733,0.3179,0.58448,1.01277,0.47088,0.66637,0.64901,0.45942,0.51691,0.56877,0.54931,0.2846,1.39131,3.66429,0.03729,1.30546,2.86161,0.000451416,0.000451416,0.000451416
40,455.697,0.50424,2.59211,0.29916,0.56888,1.03396,0.63435,0.63142,0.71281,0.47575,0.74841,0.42836,0.42799,0.23018,1.43147,3.66561,0.07897,1.34446,2.81679,0.000448664,0.000448664,0.000448664
41,467.029,0.48361,2.61872,0.31903,0.56058,1.03392,0.80339,0.54459,0.73095,0.51392,0.79238,0.49828,0.56396,0.27734,1.39628,3.38601,0.07852,1.09772,2.7296,0.000445912,0.000445912,0.000445912
42,478.532,0.4658,2.72601,0.32677,0.58515,1.03002,0.77124,0.57259,0.63822,0.43463,0.77623,0.49997,0.52354,0.24762,1.49495,3.38045,0.06029,1.26731,3.1607,0.00044316,0.00044316,0.00044316
43,489.788,0.47214,2.58816,0.3093,0.53684,1.03007,0.61115,0.55566,0.6126,0.41853,0.51643,0.50016,0.48489,0.21317,1.46005,3.65868,0.12475,1.25867,2.86434,0.000440408,0.000440408,0.000440408
