epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.8967,0.47042,2.60792,0.32241,0.54418,1.02433,0.37114,0.85089,0.70222,0.48688,0.70961,0.52413,0.5761,0.26355,1.47233,3.2699,0.07491,1.2274,2.98496,0.00016124,0.00016124,0.00016124
2,23.7259,0.42055,2.37668,0.30917,0.49768,0.98888,0.59906,0.68837,0.73384,0.49628,0.51342,0.59733,0.55293,0.27351,1.48978,3.42649,0.14214,1.15794,3.08031,0.000326416,0.000326416,0.000326416
3,35.2887,0.42668,2.51823,0.31828,0.48798,0.98181,0.59674,0.67507,0.6399,0.4282,0.65406,0.59782,0.53348,0.24952,1.49521,3.49905,0.06171,1.33016,2.95274,0.000489941,0.000489941,0.000489941
4,46.5924,0.4514,2.5907,0.31854,0.50744,1.01141,0.5834,0.54561,0.49949,0.32217,0.49645,0.41411,0.34108,0.20004,1.49051,3.77333,0.09007,1.34846,2.54487,0.000547743,0.000547743,0.000547743
5,57.815,0.48124,2.66476,0.31584,0.54225,1.02186,0.60052,0.61378,0.63211,0.42459,0.58396,0.46916,0.5024,0.25525,1.52365,3.63122,0.06186,1.31112,2.54269,0.000544991,0.000544991,0.000544991
6,69.0674,0.48276,2.78786,0.31771,0.57003,1.01157,0.62493,0.57095,0.69327,0.45652,0.68664,0.48991,0.48582,0.24701,1.51577,3.57307,0.09504,1.26701,2.75277,0.000542239,0.000542239,0.000542239
7,80.2901,0.47273,2.73573,0.32033,0.58195,1.0156,0.56194,0.69639,0.63372,0.4195,0.56954,0.52233,0.45056,0.2317,1.32157,4.34948,0.07742,1.47133,2.43317,0.000539487,0.000539487,0.000539487
8,91.808,0.47937,2.63276,0.31327,0.55905,1.01849,0.62414,0.67647,0.66011,0.44241,0.54594,0.61839,0.5783,0.32023,1.47779,3.37024,0.05579,1.2306,2.69858,0.000536735,0.000536735,0.000536735
